,GroupID,B0,E,Eh,El,Th,Tl,AIC,Converge
0,196,NA,NA,NA,NA,NA,NA,NA,N
0,197,NA,NA,NA,NA,NA,NA,NA,N
0,198,NA,NA,NA,NA,NA,NA,NA,N
0,199,NA,NA,NA,NA,NA,NA,NA,N
0,200,NA,NA,NA,NA,NA,NA,NA,N
0,201,NA,NA,NA,NA,NA,NA,NA,N
0,202,NA,NA,NA,NA,NA,NA,NA,N
0,203,NA,NA,NA,NA,NA,NA,NA,N
0,204,NA,NA,NA,NA,NA,NA,NA,N
0,205,NA,NA,NA,NA,NA,NA,NA,N
0,206,NA,NA,NA,NA,NA,NA,NA,N
0,207,NA,NA,NA,NA,NA,NA,NA,N
0,208,NA,NA,NA,NA,NA,NA,NA,N
0,209,NA,NA,NA,NA,NA,NA,NA,N
0,210,NA,NA,NA,NA,NA,NA,NA,N
0,211,NA,NA,NA,NA,NA,NA,NA,N
0,212,NA,NA,NA,NA,NA,NA,NA,N
0,213,NA,NA,NA,NA,NA,NA,NA,N
0,214,NA,NA,NA,NA,NA,NA,NA,N
0,215,NA,NA,NA,NA,NA,NA,NA,N
0,216,NA,NA,NA,NA,NA,NA,NA,N
0,217,NA,NA,NA,NA,NA,NA,NA,N
0,218,NA,NA,NA,NA,NA,NA,NA,N
0,219,NA,NA,NA,NA,NA,NA,NA,N
0,220,NA,NA,NA,NA,NA,NA,NA,N
0,221,NA,NA,NA,NA,NA,NA,NA,N
0,222,NA,NA,NA,NA,NA,NA,NA,N
0,223,NA,NA,NA,NA,NA,NA,NA,N
0,224,NA,NA,NA,NA,NA,NA,NA,N
0,225,NA,NA,NA,NA,NA,NA,NA,N
0,226,NA,NA,NA,NA,NA,NA,NA,N
0,227,NA,NA,NA,NA,NA,NA,NA,N
0,228,NA,NA,NA,NA,NA,NA,NA,N
0,229,NA,NA,NA,NA,NA,NA,NA,N
0,230,NA,NA,NA,NA,NA,NA,NA,N
0,231,NA,NA,NA,NA,NA,NA,NA,N
0,232,NA,NA,NA,NA,NA,NA,NA,N
0,233,NA,NA,NA,NA,NA,NA,NA,N
0,234,NA,NA,NA,NA,NA,NA,NA,N
0,235,NA,NA,NA,NA,NA,NA,NA,N
0,236,NA,NA,NA,NA,NA,NA,NA,N
0,237,NA,NA,NA,NA,NA,NA,NA,N
0,238,NA,NA,NA,NA,NA,NA,NA,N
0,239,NA,NA,NA,NA,NA,NA,NA,N
0,240,NA,NA,NA,NA,NA,NA,NA,N
0,241,NA,NA,NA,NA,NA,NA,NA,N
0,242,NA,NA,NA,NA,NA,NA,NA,N
0,243,NA,NA,NA,NA,NA,NA,NA,N
0,244,NA,NA,NA,NA,NA,NA,NA,N
0,245,NA,NA,NA,NA,NA,NA,NA,N
0,246,NA,NA,NA,NA,NA,NA,NA,N
0,247,NA,NA,NA,NA,NA,NA,NA,N
0,248,NA,NA,NA,NA,NA,NA,NA,N
0,249,NA,NA,NA,NA,NA,NA,NA,N
0,250,NA,NA,NA,NA,NA,NA,NA,N
0,251,NA,NA,NA,NA,NA,NA,NA,N
0,252,NA,NA,NA,NA,NA,NA,NA,N
0,253,NA,NA,NA,NA,NA,NA,NA,N
0,254,NA,NA,NA,NA,NA,NA,NA,N
0,255,NA,NA,NA,NA,NA,NA,NA,N
0,256,NA,NA,NA,NA,NA,NA,NA,F
0,257,NA,NA,NA,NA,NA,NA,NA,N
0,258,NA,NA,NA,NA,NA,NA,NA,N
0,259,NA,NA,NA,NA,NA,NA,NA,N
0,260,NA,NA,NA,NA,NA,NA,NA,N
0,261,NA,NA,NA,NA,NA,NA,NA,N
0,262,NA,NA,NA,NA,NA,NA,NA,N
0,263,NA,NA,NA,NA,NA,NA,NA,N
0,264,NA,NA,NA,NA,NA,NA,NA,N
0,265,NA,NA,NA,NA,NA,NA,NA,N
0,266,NA,NA,NA,NA,NA,NA,NA,N
0,267,NA,NA,NA,NA,NA,NA,NA,N
0,268,NA,NA,NA,NA,NA,NA,NA,N
0,269,NA,NA,NA,NA,NA,NA,NA,N
0,270,NA,NA,NA,NA,NA,NA,NA,N
0,271,NA,NA,NA,NA,NA,NA,NA,N
0,272,NA,NA,NA,NA,NA,NA,NA,N
0,273,NA,NA,NA,NA,NA,NA,NA,N
0,274,NA,NA,NA,NA,NA,NA,NA,N
0,275,NA,NA,NA,NA,NA,NA,NA,N
0,276,NA,NA,NA,NA,NA,NA,NA,N
0,277,NA,NA,NA,NA,NA,NA,NA,N
0,278,NA,NA,NA,NA,NA,NA,NA,N
0,279,NA,NA,NA,NA,NA,NA,NA,N
0,280,NA,NA,NA,NA,NA,NA,NA,N
0,281,NA,NA,NA,NA,NA,NA,NA,N
0,282,NA,NA,NA,NA,NA,NA,NA,N
0,283,NA,NA,NA,NA,NA,NA,NA,N
0,284,NA,NA,NA,NA,NA,NA,NA,N
0,285,NA,NA,NA,NA,NA,NA,NA,N
0,286,NA,NA,NA,NA,NA,NA,NA,N
0,287,NA,NA,NA,NA,NA,NA,NA,N
0,288,NA,NA,NA,NA,NA,NA,NA,N
0,289,NA,NA,NA,NA,NA,NA,NA,N
0,290,NA,NA,NA,NA,NA,NA,NA,N
0,291,NA,NA,NA,NA,NA,NA,NA,N
0,292,NA,NA,NA,NA,NA,NA,NA,N
0,293,NA,NA,NA,NA,NA,NA,NA,N
0,294,NA,NA,NA,NA,NA,NA,NA,N
0,295,NA,NA,NA,NA,NA,NA,NA,N
0,296,NA,NA,NA,NA,NA,NA,NA,N
0,297,NA,NA,NA,NA,NA,NA,NA,N
0,298,0.006517156220735134,1.3799659571054477,-0.57579109159243,2.8950906510263175,300.2641823053593,294.5928014380686,-214.26006052267763,Y
0,299,NA,NA,NA,NA,NA,NA,NA,N
0,300,NA,NA,NA,NA,NA,NA,NA,N
0,301,NA,NA,NA,NA,NA,NA,NA,N
0,302,NA,NA,NA,NA,NA,NA,NA,N
0,303,NA,NA,NA,NA,NA,NA,NA,N
0,304,NA,NA,NA,NA,NA,NA,NA,N
0,305,NA,NA,NA,NA,NA,NA,NA,N
0,306,0.025733449464695697,0.20862936492795844,0.0076560599626411185,0.007688014046780631,314.6058670645087,324.3827424368219,-127.4257194492084,Y
0,307,NA,NA,NA,NA,NA,NA,NA,N
0,308,NA,NA,NA,NA,NA,NA,NA,F
0,309,NA,NA,NA,NA,NA,NA,NA,N
0,310,NA,NA,NA,NA,NA,NA,NA,N
0,311,NA,NA,NA,NA,NA,NA,NA,N
0,312,NA,NA,NA,NA,NA,NA,NA,N
0,313,NA,NA,NA,NA,NA,NA,NA,N
0,314,NA,NA,NA,NA,NA,NA,NA,N
0,315,NA,NA,NA,NA,NA,NA,NA,N
0,316,NA,NA,NA,NA,NA,NA,NA,F
0,317,NA,NA,NA,NA,NA,NA,NA,N
0,318,NA,NA,NA,NA,NA,NA,NA,N
0,319,NA,NA,NA,NA,NA,NA,NA,N
0,320,NA,NA,NA,NA,NA,NA,NA,N
0,321,NA,NA,NA,NA,NA,NA,NA,N
0,322,NA,NA,NA,NA,NA,NA,NA,N
0,323,NA,NA,NA,NA,NA,NA,NA,N
0,324,NA,NA,NA,NA,NA,NA,NA,N
0,325,NA,NA,NA,NA,NA,NA,NA,N
0,326,0.01263855399164185,0.4693217191393786,1.3437781251100942,-0.6454312557560746,299.89090756621107,293.7399379719018,-107.55351701676173,Y
0,327,NA,NA,NA,NA,NA,NA,NA,N
0,328,NA,NA,NA,NA,NA,NA,NA,N
0,329,NA,NA,NA,NA,NA,NA,NA,N
0,330,NA,NA,NA,NA,NA,NA,NA,N
0,331,0.005583131199346969,2.1894332038188367,0.6961587906812394,3.4096102009044977,274.08942866485285,291.0456051287028,-229.23711902150131,Y
0,332,NA,NA,NA,NA,NA,NA,NA,N
0,333,NA,NA,NA,NA,NA,NA,NA,N
0,334,NA,NA,NA,NA,NA,NA,NA,N
0,335,NA,NA,NA,NA,NA,NA,NA,N
0,336,NA,NA,NA,NA,NA,NA,NA,N
0,337,NA,NA,NA,NA,NA,NA,NA,F
0,338,NA,NA,NA,NA,NA,NA,NA,N
0,339,NA,NA,NA,NA,NA,NA,NA,F
0,340,NA,NA,NA,NA,NA,NA,NA,N
0,341,NA,NA,NA,NA,NA,NA,NA,N
0,342,NA,NA,NA,NA,NA,NA,NA,N
0,343,NA,NA,NA,NA,NA,NA,NA,F
0,344,NA,NA,NA,NA,NA,NA,NA,N
0,345,NA,NA,NA,NA,NA,NA,NA,N
0,346,NA,NA,NA,NA,NA,NA,NA,F
0,347,NA,NA,NA,NA,NA,NA,NA,N
0,348,NA,NA,NA,NA,NA,NA,NA,N
0,349,NA,NA,NA,NA,NA,NA,NA,N
0,350,NA,NA,NA,NA,NA,NA,NA,N
0,351,NA,NA,NA,NA,NA,NA,NA,N
0,352,NA,NA,NA,NA,NA,NA,NA,N
0,353,NA,NA,NA,NA,NA,NA,NA,N
0,354,NA,NA,NA,NA,NA,NA,NA,N
0,355,NA,NA,NA,NA,NA,NA,NA,F
0,356,NA,NA,NA,NA,NA,NA,NA,N
0,357,NA,NA,NA,NA,NA,NA,NA,N
0,358,NA,NA,NA,NA,NA,NA,NA,N
0,359,NA,NA,NA,NA,NA,NA,NA,N
0,360,NA,NA,NA,NA,NA,NA,NA,N
0,361,NA,NA,NA,NA,NA,NA,NA,N
0,362,NA,NA,NA,NA,NA,NA,NA,N
0,363,NA,NA,NA,NA,NA,NA,NA,N
0,364,NA,NA,NA,NA,NA,NA,NA,F
0,365,NA,NA,NA,NA,NA,NA,NA,N
0,366,NA,NA,NA,NA,NA,NA,NA,N
0,367,NA,NA,NA,NA,NA,NA,NA,N
0,368,NA,NA,NA,NA,NA,NA,NA,N
0,369,NA,NA,NA,NA,NA,NA,NA,N
0,370,NA,NA,NA,NA,NA,NA,NA,N
0,371,NA,NA,NA,NA,NA,NA,NA,N
0,372,NA,NA,NA,NA,NA,NA,NA,N
0,373,NA,NA,NA,NA,NA,NA,NA,N
0,374,NA,NA,NA,NA,NA,NA,NA,N
0,375,NA,NA,NA,NA,NA,NA,NA,N
0,376,NA,NA,NA,NA,NA,NA,NA,N
0,377,NA,NA,NA,NA,NA,NA,NA,N
