,GroupID,B0,Tm,T0,AIC,Converge
0,59,0.00033209589410468354,308.25369520494195,282.2267688704838,-0.7879128134552431,Y
0,60,0.00025379735378448754,309.008625041639,281.6561571743177,-1.1772663768646972,Y
0,61,0.0003109226411514342,308.1923978287332,282.19647580393706,-1.3483530371242907,Y
0,62,0.0002838501811019978,305.2438712839063,280.5275545508445,-4.59264177202815,Y
0,63,0.00023949742871295468,308.17137131708,282.3595541690305,-18.007338366170227,Y
0,64,0.00022031238599584386,310.1551482379744,281.7830332012989,-2.1630961715877994,Y
0,65,0.0001999950761914352,310.1710354043841,280.0901774894097,-1.3275840168418398,Y
0,66,0.0002825752826325235,308.30994417269426,282.1564641505768,-12.25692052368003,Y
0,67,0.00029179371995340526,308.2826370891487,284.945117718765,-10.987902174270769,Y
0,68,0.00035417863481153523,306.38423537427434,282.1816498665583,-8.025234770515029,Y
0,69,0.0002924275074902094,305.1720133773975,280.3041065326874,-7.068703338150948,Y
0,70,0.00030988897806580963,308.24255908789945,286.15956590603093,-15.675489053334964,Y
0,71,0.00037461185745321944,305.5897734492044,283.61793058384364,-14.769129744016375,Y
0,72,0.00028469200845029143,308.20730200954193,282.0816670238416,-9.007883477416662,Y
0,73,0.0002940072965785979,308.22669019630854,285.9172666670498,-11.481303122291528,Y
0,74,0.0003132019748463972,308.222858039758,284.6584745931694,-14.505413381583686,Y
0,75,0.0002862064795305831,308.1863021818929,286.4786901364884,-11.453820971334181,Y
0,76,0.00016681412431791224,308.1811635320649,279.07377998100264,-14.80458906219641,Y
0,77,0.0003270489227739713,308.23763859134215,284.47214583484975,-12.630238697591999,Y
0,78,0.0002563488770168898,308.1721393977766,285.42674699446735,-9.150600442178579,Y
0,79,0.000250223509902414,308.2055687089621,284.4772677094619,-16.076881861101914,Y
0,80,0.00017605429627998466,308.15337786581944,280.8170813862306,-5.06739532480935,Y
0,81,0.00026070097831362634,308.4231845271598,285.7504927665526,-18.500928385942913,Y
0,82,0.00032223983606677315,308.2020259878583,285.7746026677438,-20.100896111506902,Y
0,83,0.00030901343726713967,308.3152287358079,285.76771349342744,-14.036642420231914,Y
0,84,0.00021705754599141144,308.20979284689656,284.2755223113565,-20.475774667702577,Y
0,85,0.00016902253406115685,308.31586230996055,283.0092606733044,-11.98868744706158,Y
0,86,0.00037131227387924394,305.41206770297856,282.9523851683045,-8.410998570276812,Y
0,87,0.0002582739012459506,305.1787361666761,281.4876177122711,-5.486995288542797,Y
0,88,0.0002774135878261316,305.30889183696826,280.6729056016957,-15.336610445684293,Y
0,89,0.0002778438203096336,305.26664349478733,281.04131989722976,-15.432129308887315,Y
0,90,0.00023611168101004775,305.3351399212063,281.0368862966131,-19.762944248587154,Y
0,91,0.0002637962324219807,305.3300174564302,281.75564057291336,-9.742346121354295,Y
0,92,0.00027123754615791747,305.41800224629816,281.23942904672225,-12.300453408041854,Y
0,93,0.00022249684364702047,303.161407106091,277.6305906207554,2.718271224515777,Y
0,94,0.00019414512229824977,305.15005198070884,274.8710446238987,5.853585691824119,Y
0,95,0.00024343421320309456,303.16164668723553,277.97861679236155,2.1303109053165667,Y
0,96,0.00029936922555265946,303.0086450161088,280.79374358898826,-5.130951131735451,Y
0,97,0.0002118883202091243,303.21646014279906,277.4871632861835,-2.4273837083701295,Y
0,98,0.00019631493325422846,303.1550395638473,276.41039081821907,1.4419744508738424,Y
0,99,0.00032211111379053855,303.1648455055979,279.372164599477,4.210503020520364,Y
0,100,0.0002353763839197344,303.1500555083515,277.614415554901,1.6941196327320487,Y
0,101,0.00020680199504201512,303.16266854127184,277.2550661039611,0.20775101984995548,Y
0,102,0.0004564538790061301,301.6293090167278,280.6801362991866,-2.1500294084576037,Y
0,103,0.00024630535743041545,306.1802766836955,280.65442659215427,-6.818468069008901,Y
0,104,0.00027196606098158296,305.80816733216665,281.5986336663124,-9.368711423537814,Y
0,105,0.00029512423546945504,305.4552696947801,281.47754716910725,-12.53527077815393,Y
0,106,0.0002496158019439567,306.20339283874193,281.19996345441984,-12.576828954919279,Y
0,107,0.00025921752918464934,306.26239578231343,280.99695496696296,-13.056846287163811,Y
0,108,0.0002446145153415499,306.4238665240548,281.05163827263357,-14.70559209701053,Y
