,GroupID,B0,E,Eh,Th,AIC,Converge
0,110,0.6790748961579103,1.059815668521334,3.7283420183522953,300.5548188158422,-1.2200538282560416,Y
0,111,0.8407974026318769,0.8118149273915087,7.096388030639446,302.24297801271973,-9.195365967194228,Y
0,112,1.1497576989684268,0.6495727249125494,5.81871606143352,302.6645177724278,-7.077655501381072,Y
0,113,0.6525005459933949,1.2422467468762592,4.152008542081305,299.3702365013339,-0.21339733854843423,Y
0,114,0.8954799927961113,0.7085534625295182,10.674390954483576,303.5893999101078,1.219282364374048,Y
0,115,0.7798425212275572,1.2872497796906854,3.5566363662182376,298.23878117887335,0.6578561931086728,Y
0,116,0.6643480394441452,1.016981038057117,6.073967541753143,301.3905220612617,-4.8587733852369315,Y
0,117,0.5368841113150241,1.193614007185216,4.381469858757867,300.04721304265166,-3.9152158186642083,Y
0,118,0.7062285783825958,0.9271550364001495,5.29666409559873,301.7386149406777,-6.100403874918737,Y
0,119,0.38061755655332996,1.2974181929244482,7.390367208011233,301.4068970534399,7.726841761026757,Y
0,120,0.6419909418274685,1.05069120744113,6.607845529758815,301.8162459918836,2.385475976923469,Y
0,121,0.7855842462371357,0.9022283094443628,5.8059909085625865,301.3353933874892,-11.018699065581718,Y
0,122,0.6480431672804797,1.145811795000049,3.5139797011413183,299.9610143141824,-5.745582227242341,Y
0,123,1.5294581066642432,0.5940841347298194,5.551195116564953,301.3065117702064,-18.743399213721503,Y
0,124,0.6859364073870274,0.8558079471371608,7.880114335552743,303.5784256184723,-10.27242333711331,Y
0,125,0.39748064393291244,1.0270184503586255,10.187451508860528,303.546683012911,-8.88942245486085,Y
0,126,1.3496862194133996,0.6758915597693835,5.897351904117931,300.86451625505845,-9.497238613058151,Y
0,127,0.9773068116731377,0.6637266376720591,14.5855537510593,300.82953866774346,-3.942674292638424,Y
0,128,1.022623893249527,0.6479358227139276,15.572603510043223,304.64194271377454,8.8685584119543,Y
0,129,0.7872028548892549,0.7731046444617847,8.60153018171393,304.11038037210557,-1.0095219382866691,Y
0,130,0.5114212690202955,0.9485567089269832,6.944745894093738,302.4585325969509,-3.9572670244059545,Y
0,131,NA,NA,NA,NA,NA,N
0,132,0.8359800387469755,0.8470285379083763,8.024094010365078,303.43941965295465,5.731491600894367,Y
0,133,0.5151269989674309,1.481949598684218,4.837204374085833,299.97536276682774,9.069484356630316,Y
0,134,0.9754299586797457,0.8763860960749252,7.375500599987357,301.9028773309809,-4.592645003366179,Y
0,135,1.1535289756288303,0.4381131887142458,8.691700050470907,304.8616598517971,-4.663524916488848,Y
0,136,0.9939147551611655,0.676118617370922,9.20555476080555,303.8992573599858,-2.540252442755497,Y
0,137,NA,NA,NA,NA,NA,N
0,138,1.1570869147479899,0.6216027764129616,10.951295580137952,304.7607031020127,2.75265598233909,Y
0,139,0.8006227526731866,0.6873309756658674,14.33057561166023,303.99884252905326,-0.9778750737979589,Y
0,140,1.0688894648149165,0.9028748808539752,6.006938678996607,301.1919155297737,-4.33016652680392,Y
0,141,0.8580132687092884,0.9323713557229131,5.971007937125725,302.43636602307805,4.263713602241925,Y
0,142,1.0000550704244007,0.6424572369521233,9.268338422085506,304.8449851503301,-3.911842528578486,Y
0,143,0.8433230305101407,0.9542916854980181,5.315139945577195,302.26869137418436,3.1412672457715622,Y
0,144,0.9209933590368377,0.8018635395718471,5.092054837287505,301.47144830390897,-6.6372431532856435,Y
0,145,0.8026441182910184,0.835488384511995,7.929220629916289,303.6072452998019,4.143813004598616,Y
0,146,0.3427093250351619,1.6760786419455236,5.151404490256889,299.75161473963783,14.279938292521727,Y
0,147,0.5945420112401846,1.3992711640605737,5.005319595619845,300.3823938404342,9.911208701472058,Y
0,148,0.8386694707567092,0.8385244469630116,7.8363934356685965,303.69238985808676,7.851289494500348,Y
0,149,1.4087536813043944,0.7485769923476395,8.632573271394412,302.5647581278554,-1.1290036953642968,Y
0,150,0.3427746868977632,1.3054610022167503,4.630274459443824,300.19839229946825,-5.688752661531698,Y
0,151,0.8366326768204553,0.9488525924904835,6.4029954300281045,301.5290419517235,-3.730481627737591,Y
0,152,0.8568699679968701,0.6486434315431062,8.748895158661307,304.26074968875037,-8.383734242808998,Y
0,153,0.6435636897789002,2.485696787486308,3.0255558553685535,290.1004457216404,-2.0548055742954876,Y
0,154,NA,NA,NA,NA,NA,N
0,155,1.0233181764843509,0.8448714958019655,5.614565122771569,302.78029828612705,-2.387572224676271,Y
0,156,0.6829421168444335,0.9031105197141728,7.181165785558606,303.14894437770664,-6.992620569452711,Y
0,157,0.7604458544520218,0.9623206001571349,8.409753588208863,303.14474815358807,7.842700291964422,Y
0,158,0.7417035832709619,0.9355741226260921,5.559858286982265,302.3492326384554,-2.4471550119857852,Y
0,159,1.2053537112534567,0.6521070158498575,7.261286996826408,304.1623974353892,3.0197313954367218,Y
0,160,0.8514997689956197,0.8829939736174267,9.850159218868486,302.5529514687841,0.7356096120557787,Y
0,161,1.0426067495868523,0.6411969238492998,10.030333407384074,304.2252290558258,-7.376029270052268,Y
0,162,2.0203159567353506,0.7259952805975015,5.155621577747902,299.8862470555471,3.723179338469757,Y
0,163,0.8365220849443301,0.8953741423690994,4.959317346051195,302.32000193298416,2.0826760184107513,Y
0,164,1.4060406306429103,0.5357080333987564,6.383958259580124,302.9226552435718,-29.317741196328967,Y
0,165,1.489409590369931,0.7331699209357325,5.589718470389093,301.5338597256398,-6.628750931647568,Y
0,166,1.157037079962085,0.5205496601682742,8.108751794271106,304.4037670844093,-7.939039803817527,Y
0,167,1.505852732891093,0.5094633913536222,7.068774108794923,302.042620691947,-29.429988273149355,Y
0,168,1.2891049325146215,0.48823925261532636,12.53508565142574,305.24728183384235,-0.4253748904767338,Y
0,169,0.8435905688625287,0.7299958043343835,7.25371679611798,304.36608234285137,-2.3313522075719835,Y
0,170,0.6964791887489492,1.534858310679816,2.245095350823866,294.15891972055783,-9.763179519390587,Y
0,171,NA,NA,NA,NA,NA,N
0,172,0.8348134616115527,1.6005324122061884,2.623893386383181,294.8857812683563,-7.489292550429321,Y
0,173,0.742813824367257,1.0562112230670495,3.776911941302762,299.52714631455984,-16.731521266726915,Y
0,174,1.3797105927565343,0.7529871977597143,6.023860326812309,301.8933776590657,-6.329437252690903,Y
0,175,NA,NA,NA,NA,NA,N
0,176,1.4018788752579774,0.6632959589668195,8.204580225185369,303.41118469613576,0.9366468841933866,Y
0,177,0.7497899461013569,0.9429361707081176,8.528226322456984,303.2784849571889,9.718582377824378,Y
0,178,1.1406055576324898,0.6284574036826381,6.446311359151532,303.19412294609106,-21.85938458035109,Y
0,179,1.0436772151155085,0.5778053391001718,9.876059177057728,304.3880911149211,-16.364948239827598,Y
0,180,0.5466412762965922,1.0501706887074262,5.51956620718622,302.3198876522288,-6.172087334837142,Y
0,181,1.0261678611728642,0.7625219496970762,6.118899001147245,303.3337470578597,1.6558126268253979,Y
0,182,1.0048799984782775,0.687832558878454,6.85186455873271,303.91729763555406,2.0062304035437775,Y
0,183,1.4336513737332552,0.5899146706946018,9.867652704050832,303.88445132310017,4.977570171101986,Y
0,184,1.1168025538985564,0.6657364381059968,8.80248300190646,303.4392678851968,-10.170247078824016,Y
0,185,1.2599451468367482,0.8285493625594934,5.116525151834926,302.0246587528844,-2.3404766051198624,Y
0,186,0.6845701296675999,0.6986117232916276,8.334173773035706,304.67634801801586,-18.986966529820002,Y
0,187,1.3736989615616624,0.6118259890036155,7.886613983899308,303.4617902993033,1.0821374787730003,Y
0,188,NA,NA,NA,NA,NA,N
0,189,NA,NA,NA,NA,NA,N
0,190,NA,NA,NA,NA,NA,N
0,191,NA,NA,NA,NA,NA,N
0,192,NA,NA,NA,NA,NA,N
0,193,0.013118612975284459,0.7638625712818977,-0.0035277388698562494,288.4803841518695,-166.98373402628,Y
0,194,NA,NA,NA,NA,NA,N
0,195,NA,NA,NA,NA,NA,N
0,196,NA,NA,NA,NA,NA,N
0,197,NA,NA,NA,NA,NA,N
0,198,NA,NA,NA,NA,NA,N
0,199,NA,NA,NA,NA,NA,N
0,200,NA,NA,NA,NA,NA,N
0,201,NA,NA,NA,NA,NA,N
0,202,NA,NA,NA,NA,NA,N
0,203,6.477086028436075e-08,16.579798788602872,15.786582176491967,288.11174503034545,-222.1435671407503,Y
0,204,NA,NA,NA,NA,NA,N
0,205,NA,NA,NA,NA,NA,N
0,206,NA,NA,NA,NA,NA,N
0,207,NA,NA,NA,NA,NA,N
0,208,NA,NA,NA,NA,NA,N
0,209,NA,NA,NA,NA,NA,N
0,210,NA,NA,NA,NA,NA,N
0,211,NA,NA,NA,NA,NA,N
0,212,NA,NA,NA,NA,NA,N
0,213,NA,NA,NA,NA,NA,N
0,214,NA,NA,NA,NA,NA,N
0,215,NA,NA,NA,NA,NA,N
0,216,NA,NA,NA,NA,NA,N
0,217,NA,NA,NA,NA,NA,N
0,218,NA,NA,NA,NA,NA,N
0,219,0.009907151087789052,0.7435467135989071,-0.00021037348673694396,298.68505930843605,-191.8957936441546,Y
0,220,NA,NA,NA,NA,NA,N
0,221,0.00855002231457855,0.8122818798418021,0.0013080560302427872,299.7263916838286,-180.00099768603116,Y
0,222,NA,NA,NA,NA,NA,N
0,223,NA,NA,NA,NA,NA,N
0,224,NA,NA,NA,NA,NA,N
0,225,NA,NA,NA,NA,NA,N
0,226,NA,NA,NA,NA,NA,N
0,227,NA,NA,NA,NA,NA,N
0,228,NA,NA,NA,NA,NA,N
0,229,NA,NA,NA,NA,NA,N
0,230,NA,NA,NA,NA,NA,N
0,231,NA,NA,NA,NA,NA,N
0,232,NA,NA,NA,NA,NA,N
0,233,NA,NA,NA,NA,NA,N
0,234,NA,NA,NA,NA,NA,N
0,235,NA,NA,NA,NA,NA,N
0,236,NA,NA,NA,NA,NA,N
0,237,0.005219133823479046,2.0367369262109123,1.6758572189542935,287.673254192243,-181.8427483360479,Y
0,238,NA,NA,NA,NA,NA,N
0,239,NA,NA,NA,NA,NA,N
0,240,0.001425407293487956,3.177071836075834,2.5981053841353043,288.36868311905624,-174.0422779109896,Y
0,241,NA,NA,NA,NA,NA,N
0,242,NA,NA,NA,NA,NA,N
0,243,NA,NA,NA,NA,NA,N
0,244,9.719112558391687e-09,18.06229557079281,17.169953311393865,288.55574724721146,-166.50264910290937,Y
0,245,NA,NA,NA,NA,NA,N
0,246,NA,NA,NA,NA,NA,N
0,247,NA,NA,NA,NA,NA,N
0,248,6.223405196063916e-10,21.112854105632497,20.43747012190447,288.7542550332133,-168.35322208548243,Y
0,249,NA,NA,NA,NA,NA,N
0,250,NA,NA,NA,NA,NA,N
0,251,NA,NA,NA,NA,NA,N
0,252,NA,NA,NA,NA,NA,N
0,253,NA,NA,NA,NA,NA,N
0,254,0.018417451678019985,0.25254143400459145,0.0008300179405938273,320.66588443716415,-71.5925530761309,Y
0,255,NA,NA,NA,NA,NA,N
0,256,NA,NA,NA,NA,NA,N
0,257,NA,NA,NA,NA,NA,N
0,258,NA,NA,NA,NA,NA,N
0,259,NA,NA,NA,NA,NA,N
0,260,NA,NA,NA,NA,NA,N
0,261,NA,NA,NA,NA,NA,N
0,262,NA,NA,NA,NA,NA,N
0,263,NA,NA,NA,NA,NA,N
0,264,NA,NA,NA,NA,NA,N
0,265,NA,NA,NA,NA,NA,N
0,266,NA,NA,NA,NA,NA,N
0,267,NA,NA,NA,NA,NA,N
0,268,NA,NA,NA,NA,NA,N
0,269,NA,NA,NA,NA,NA,N
0,270,NA,NA,NA,NA,NA,N
0,271,NA,NA,NA,NA,NA,N
0,272,NA,NA,NA,NA,NA,N
0,273,0.0029274918638440093,1.9696194622107945,1.5711625454979008,289.0444382098625,-226.59101537327413,Y
0,274,NA,NA,NA,NA,NA,N
0,275,NA,NA,NA,NA,NA,N
0,276,NA,NA,NA,NA,NA,N
0,277,NA,NA,NA,NA,NA,N
0,278,NA,NA,NA,NA,NA,N
0,279,NA,NA,NA,NA,NA,N
0,280,NA,NA,NA,NA,NA,N
0,281,NA,NA,NA,NA,NA,N
0,282,NA,NA,NA,NA,NA,N
0,283,NA,NA,NA,NA,NA,N
0,284,NA,NA,NA,NA,NA,N
0,285,NA,NA,NA,NA,NA,N
0,286,NA,NA,NA,NA,NA,N
0,287,NA,NA,NA,NA,NA,N
0,288,NA,NA,NA,NA,NA,N
0,289,0.010935906505391975,0.5739052270234061,-0.00045840865294355837,299.11707878547224,-215.89665455202382,Y
0,290,NA,NA,NA,NA,NA,N
0,291,NA,NA,NA,NA,NA,N
0,292,NA,NA,NA,NA,NA,N
0,293,NA,NA,NA,NA,NA,N
0,294,NA,NA,NA,NA,NA,N
0,295,NA,NA,NA,NA,NA,N
0,296,NA,NA,NA,NA,NA,N
0,297,NA,NA,NA,NA,NA,N
0,298,NA,NA,NA,NA,NA,N
0,299,NA,NA,NA,NA,NA,N
0,300,NA,NA,NA,NA,NA,N
0,301,NA,NA,NA,NA,NA,N
0,302,NA,NA,NA,NA,NA,N
0,303,NA,NA,NA,NA,NA,N
0,304,NA,NA,NA,NA,NA,N
0,305,NA,NA,NA,NA,NA,N
0,306,NA,NA,NA,NA,NA,N
0,307,NA,NA,NA,NA,NA,N
0,308,NA,NA,NA,NA,NA,N
0,309,NA,NA,NA,NA,NA,N
0,310,NA,NA,NA,NA,NA,N
0,311,NA,NA,NA,NA,NA,N
0,312,NA,NA,NA,NA,NA,N
0,313,NA,NA,NA,NA,NA,N
0,314,NA,NA,NA,NA,NA,N
0,315,2.2289078008791729e-07,13.772092418703158,13.180491240762352,288.5883504029139,-304.27008133768953,Y
0,316,NA,NA,NA,NA,NA,N
0,317,NA,NA,NA,NA,NA,N
0,318,NA,NA,NA,NA,NA,N
0,319,NA,NA,NA,NA,NA,N
0,320,NA,NA,NA,NA,NA,N
0,321,NA,NA,NA,NA,NA,N
0,322,NA,NA,NA,NA,NA,N
0,323,NA,NA,NA,NA,NA,N
0,324,NA,NA,NA,NA,NA,N
0,325,NA,NA,NA,NA,NA,N
0,326,NA,NA,NA,NA,NA,N
0,327,NA,NA,NA,NA,NA,N
0,328,NA,NA,NA,NA,NA,N
0,329,NA,NA,NA,NA,NA,N
0,330,NA,NA,NA,NA,NA,N
0,331,NA,NA,NA,NA,NA,N
0,332,NA,NA,NA,NA,NA,N
0,333,NA,NA,NA,NA,NA,N
0,334,NA,NA,NA,NA,NA,N
0,335,NA,NA,NA,NA,NA,N
0,336,NA,NA,NA,NA,NA,N
0,337,NA,NA,NA,NA,NA,N
0,338,NA,NA,NA,NA,NA,N
0,339,NA,NA,NA,NA,NA,N
0,340,0.018020377354745386,0.18612332251823027,1.1303194093482927e-06,320.4133941769279,-370.4894072029919,Y
0,341,1.8172327371063387e-08,17.406873781822807,16.95852062769624,288.3931605769768,-434.52742418552634,Y
0,342,NA,NA,NA,NA,NA,N
0,343,NA,NA,NA,NA,NA,N
0,344,NA,NA,NA,NA,NA,N
0,345,NA,NA,NA,NA,NA,N
0,346,NA,NA,NA,NA,NA,N
0,347,NA,NA,NA,NA,NA,N
0,348,NA,NA,NA,NA,NA,N
0,349,NA,NA,NA,NA,NA,N
0,350,NA,NA,NA,NA,NA,N
0,351,NA,NA,NA,NA,NA,N
0,352,NA,NA,NA,NA,NA,N
0,353,NA,NA,NA,NA,NA,N
0,354,NA,NA,NA,NA,NA,N
0,355,NA,NA,NA,NA,NA,N
0,356,NA,NA,NA,NA,NA,N
0,357,NA,NA,NA,NA,NA,N
0,358,NA,NA,NA,NA,NA,N
0,359,NA,NA,NA,NA,NA,N
0,360,NA,NA,NA,NA,NA,N
0,361,NA,NA,NA,NA,NA,N
0,362,NA,NA,NA,NA,NA,N
0,363,NA,NA,NA,NA,NA,N
0,364,NA,NA,NA,NA,NA,N
0,365,NA,NA,NA,NA,NA,N
0,366,NA,NA,NA,NA,NA,N
0,367,NA,NA,NA,NA,NA,N
0,368,NA,NA,NA,NA,NA,N
0,369,NA,NA,NA,NA,NA,N
0,370,NA,NA,NA,NA,NA,N
0,371,NA,NA,NA,NA,NA,N
0,372,NA,NA,NA,NA,NA,N
0,373,NA,NA,NA,NA,NA,N
0,374,NA,NA,NA,NA,NA,N
0,375,NA,NA,NA,NA,NA,N
0,376,NA,NA,NA,NA,NA,N
0,377,NA,NA,NA,NA,NA,N
0,378,NA,NA,NA,NA,NA,N
0,379,NA,NA,NA,NA,NA,N
0,380,NA,NA,NA,NA,NA,N
0,381,NA,NA,NA,NA,NA,N
0,382,NA,NA,NA,NA,NA,N
0,383,NA,NA,NA,NA,NA,N
0,384,NA,NA,NA,NA,NA,N
0,385,NA,NA,NA,NA,NA,N
0,386,NA,NA,NA,NA,NA,N
0,387,NA,NA,NA,NA,NA,N
0,388,NA,NA,NA,NA,NA,N
0,389,NA,NA,NA,NA,NA,N
0,390,NA,NA,NA,NA,NA,N
0,391,NA,NA,NA,NA,NA,N
0,392,NA,NA,NA,NA,NA,N
0,393,NA,NA,NA,NA,NA,N
0,394,NA,NA,NA,NA,NA,N
0,395,NA,NA,NA,NA,NA,N
0,396,NA,NA,NA,NA,NA,N
0,397,NA,NA,NA,NA,NA,N
0,398,NA,NA,NA,NA,NA,N
0,399,NA,NA,NA,NA,NA,N
