,GroupID,a,b,c,d,AIC,Converge
0,480,1631.4466772679125,-16.652192525815188,0.05634585469196101,-6.312645319837583e-05,-35.27945964238501,Y
0,481,-9240.018972107895,87.51986582698797,-0.27305773307701015,0.00028054608719308517,4.602090372722629,Y
0,482,6250.717343694209,-74.98522521574482,0.2921166722311909,-0.00037100041832024874,-14.413546305122349,Y
0,483,20557.990889560217,-329.8943339071504,1.5266583696325884,-0.0021809431682164974,43.3142276634331,Y
0,484,173.7677037046415,-1.7780280075395576,0.006057980450909431,-6.871944689641274e-06,-49.92475172288392,Y
0,485,170.95834169386512,-1.7610879108233235,0.006037102126318625,-6.884657697912664e-06,-63.847495815787354,Y
0,486,72.94208235295027,-0.7653656729522688,0.002671430567866862,-3.1002692306563203e-06,-70.4217454091072,Y
0,487,-94.77291258149693,1.0057330871401124,-0.0035632550415310936,4.216426885407953e-06,-80.56425316614582,Y
0,488,-985.7221600556735,10.009599678899542,-0.03383396299148236,3.807348542431574e-05,-48.78163947662617,Y
0,489,-478.67177190441794,4.960617937825194,-0.01713016822901731,1.9714715761997938e-05,-63.224213732370956,Y
0,490,-37.1969621201482,0.221178161031358,-0.0001952916264588264,-4.2215462920148316e-07,-39.06318463175429,Y
0,491,-569.4564173564063,5.791742241220959,-0.019615684268693194,2.2126541446391928e-05,-33.07053996657699,Y
0,492,6.587295458029464,-0.07698377386795432,0.0002943307710500699,-3.6543157513336826e-07,-53.126909475472345,Y
0,493,23.373314735625556,-0.41947761438014985,0.0020546177601914115,-3.0453633448656458e-06,-42.10921114043909,Y
0,494,-1292.033953110858,13.273823207568118,-0.04543638231199478,5.182466344279858e-05,-63.83152633060054,Y
0,495,-275.3064660631068,2.83421426106399,-0.009721528764533987,1.1114526950314091e-05,-51.59829980428264,Y
0,496,-119.30746174071281,0.9766787729901248,-0.0024796041004950175,1.8406001110561918e-06,-45.385758138263746,Y
0,497,-1885.8389731422876,19.33303183065924,-0.06602133743372901,7.510747791470886e-05,-65.21955231316346,Y
0,498,-528.2832263111561,5.473439915765518,-0.018903553797027555,2.1768127550665124e-05,-50.04158633278056,Y
0,499,-254.46185273998026,2.4296341686982195,-0.007659963971464643,7.968126281797874e-06,-32.225320174903345,Y
0,500,811.252590951484,-8.705215717360108,0.031110317690733993,-3.7024064866285266e-05,-38.36907261628171,Y
0,501,-77.44370414935433,0.8285627089225629,-0.002955816079344893,3.5212884300552814e-06,-40.91428255417799,Y
0,502,-185.68856640444454,1.522651142137977,-0.0038419220050375557,2.770293713766091e-06,-38.36388627869883,Y
0,503,-1915.0793864044067,19.8201596844267,-0.06833222768350193,7.848014071056184e-05,-34.082524896783795,Y
0,504,-45.54580242884734,0.3541646937922236,-0.0008175390112159205,4.848545932034845e-07,-38.69463193206095,Y
0,505,-180457.3252068815,1780.1135999896892,-5.835635812454103,0.006359559668670897,13.55917509717214,Y
0,506,-508760.136261552,5120.308568711612,-17.15772623006239,0.01914542850726481,18.049523152506683,Y
0,507,-102536.17300179585,1071.3347150868456,-3.7109847960163176,0.004265798659604333,9.715934287719705,Y
0,508,14860.555793143918,-165.27784404764853,0.6093060115283131,-0.0007443974594404661,-23.703262616983427,Y
0,509,7664.57699288416,-86.91080777356025,0.32555125263565743,-0.00040288960965245864,-3.0220704985911215,Y
0,510,-1810.61768417302,9.873385194246174,-0.0033641749610124204,-3.085017044155256e-05,-0.31061393022727657,Y
0,511,24386.08123503841,-262.9899295062497,0.9431149727946289,-0.001124359143588063,-10.324060946701277,Y
0,512,37897.44029874105,-405.20352527307426,1.4413059394802055,-0.0017051670349924066,-13.315821096357634,Y
