,GroupID,B0,E,Eh,El,Th,Tl,AIC,Converge
0,317,0.007891038735141192,1.3303040907932406,-0.11453770196917598,3.543636902376462,352.85526389122094,294.59506991576364,-285.7428485837242,Y
0,318,NA,NA,NA,NA,NA,NA,NA,N
0,319,NA,NA,NA,NA,NA,NA,NA,N
0,320,NA,NA,NA,NA,NA,NA,NA,N
0,321,NA,NA,NA,NA,NA,NA,NA,N
0,322,NA,NA,NA,NA,NA,NA,NA,N
0,323,NA,NA,NA,NA,NA,NA,NA,N
0,324,NA,NA,NA,NA,NA,NA,NA,N
0,325,NA,NA,NA,NA,NA,NA,NA,N
0,326,NA,NA,NA,NA,NA,NA,NA,N
0,327,NA,NA,NA,NA,NA,NA,NA,N
0,328,NA,NA,NA,NA,NA,NA,NA,N
0,329,NA,NA,NA,NA,NA,NA,NA,N
0,330,NA,NA,NA,NA,NA,NA,NA,N
0,331,NA,NA,NA,NA,NA,NA,NA,N
0,332,NA,NA,NA,NA,NA,NA,NA,N
0,333,NA,NA,NA,NA,NA,NA,NA,N
0,334,NA,NA,NA,NA,NA,NA,NA,N
0,335,NA,NA,NA,NA,NA,NA,NA,N
0,336,NA,NA,NA,NA,NA,NA,NA,N
0,337,NA,NA,NA,NA,NA,NA,NA,F
0,338,NA,NA,NA,NA,NA,NA,NA,N
0,339,NA,NA,NA,NA,NA,NA,NA,F
0,340,NA,NA,NA,NA,NA,NA,NA,N
0,341,NA,NA,NA,NA,NA,NA,NA,N
0,342,NA,NA,NA,NA,NA,NA,NA,N
0,343,NA,NA,NA,NA,NA,NA,NA,F
0,344,NA,NA,NA,NA,NA,NA,NA,N
0,345,NA,NA,NA,NA,NA,NA,NA,N
0,346,NA,NA,NA,NA,NA,NA,NA,F
0,347,NA,NA,NA,NA,NA,NA,NA,N
0,348,NA,NA,NA,NA,NA,NA,NA,N
0,349,NA,NA,NA,NA,NA,NA,NA,N
0,350,NA,NA,NA,NA,NA,NA,NA,N
0,351,NA,NA,NA,NA,NA,NA,NA,N
0,352,NA,NA,NA,NA,NA,NA,NA,N
0,353,NA,NA,NA,NA,NA,NA,NA,N
0,354,NA,NA,NA,NA,NA,NA,NA,N
0,355,NA,NA,NA,NA,NA,NA,NA,F
0,356,NA,NA,NA,NA,NA,NA,NA,N
0,357,NA,NA,NA,NA,NA,NA,NA,N
0,358,NA,NA,NA,NA,NA,NA,NA,N
0,359,NA,NA,NA,NA,NA,NA,NA,N
0,360,NA,NA,NA,NA,NA,NA,NA,N
0,361,NA,NA,NA,NA,NA,NA,NA,N
0,362,NA,NA,NA,NA,NA,NA,NA,N
0,363,NA,NA,NA,NA,NA,NA,NA,N
0,364,NA,NA,NA,NA,NA,NA,NA,F
0,365,NA,NA,NA,NA,NA,NA,NA,N
0,366,NA,NA,NA,NA,NA,NA,NA,N
0,367,NA,NA,NA,NA,NA,NA,NA,N
0,368,NA,NA,NA,NA,NA,NA,NA,N
0,369,NA,NA,NA,NA,NA,NA,NA,N
0,370,NA,NA,NA,NA,NA,NA,NA,N
0,371,NA,NA,NA,NA,NA,NA,NA,N
0,372,NA,NA,NA,NA,NA,NA,NA,N
0,373,NA,NA,NA,NA,NA,NA,NA,N
0,374,NA,NA,NA,NA,NA,NA,NA,N
0,375,0.0075796492668660405,1.4430205329342614,-1.1515920772072077,1.0832475424196653,293.1665847404353,288.8279432365999,-80.6849924253329,Y
0,376,NA,NA,NA,NA,NA,NA,NA,N
0,377,NA,NA,NA,NA,NA,NA,NA,N
0,378,NA,NA,NA,NA,NA,NA,NA,N
0,379,NA,NA,NA,NA,NA,NA,NA,N
0,380,NA,NA,NA,NA,NA,NA,NA,N
0,381,NA,NA,NA,NA,NA,NA,NA,N
0,382,NA,NA,NA,NA,NA,NA,NA,N
0,383,NA,NA,NA,NA,NA,NA,NA,N
0,384,NA,NA,NA,NA,NA,NA,NA,N
0,385,NA,NA,NA,NA,NA,NA,NA,F
0,386,NA,NA,NA,NA,NA,NA,NA,N
0,387,NA,NA,NA,NA,NA,NA,NA,N
0,388,NA,NA,NA,NA,NA,NA,NA,N
0,389,NA,NA,NA,NA,NA,NA,NA,F
0,390,NA,NA,NA,NA,NA,NA,NA,N
0,391,NA,NA,NA,NA,NA,NA,NA,N
0,392,NA,NA,NA,NA,NA,NA,NA,N
0,393,NA,NA,NA,NA,NA,NA,NA,N
0,394,NA,NA,NA,NA,NA,NA,NA,N
0,395,NA,NA,NA,NA,NA,NA,NA,N
0,396,NA,NA,NA,NA,NA,NA,NA,N
0,397,NA,NA,NA,NA,NA,NA,NA,N
